TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,12,101,2.0,0.0,5.728514824479292,0.3092759239643087,0.6283861209959333,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,12,102,2.0,0.0,-3.499729574864447,-1.279237145580466,-0.35673644504571,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,12,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial46,12,104,2.0,0.0,3.2962257147771687,2.3562461834904287,0.3687372879768059,1.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,12,105,2.0,0.0,-6.578436333987742,-2.40468899259742,-0.6853908858462784,0.0,0.0,2.0,24.0,35.0,37.0,,,24.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,12,106,1.0,1.0,6.729799667583434,1.1465169808690774,0.735274089204437,0.0,0.0,2.0,24.0,35.0,38.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,12,107,1.0,1.0,14.16972802748767,0.4720778886712962,1.5294924692027032,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,12,108,1.0,1.0,10.70208343812871,0.6585932777599319,1.1593185999201936,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,13,101,0.0,0.0,7.331881266470524,0.7240006677912897,0.7995467876717951,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,13,102,0.0,0.0,1.03533962601882,-0.6807870026207451,0.1273858663083606,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,13,103,0.0,0.0,15.523785417584572,2.186377504795279,1.674039192607078,0.0,0.0,2.0,23.0,25.0,28.0,31.0,31.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
