TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial23,2,7,0,0,2.813288497721925,-0.6500639901712255,-0.0930347991042348,0,0,1,4.0,10.0,13.0,15.0,17.0,19.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,8,0,0,24.93785465043657,0.9594690839315244,1.5494129205305762,0,0,1,4.0,10.0,13.0,15.0,17.0,20.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,9,0,0,16.326184764884182,0.9755204179654112,0.9101137149261388,0,0,1,4.0,10.0,13.0,15.0,17.0,20.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,10,0,0,12.782953610472251,0.7443535983475593,0.6470770574146045,0,0,1,4.0,10.0,13.0,15.0,17.0,20.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,11,0,0,17.212535166395668,0.9360144757633916,0.9759131609225666,0,0,1,4.0,10.0,13.0,15.0,18.0,18.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,12,0,0,5.811171433542865,0.2228598207767975,0.1295171803417921,0,0,1,4.0,10.0,13.0,15.0,18.0,18.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,13,0,0,25.79557717865365,1.3310876198984138,1.6130871368214434,0,0,1,4.0,10.0,13.0,15.0,18.0,18.0,15,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,14,0,0,-14.988075659345368,-1.8661696462013704,-1.414543648785186,0,0,1,4.0,10.0,13.0,16.0,21.0,23.0,16,27,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,15,0,0,18.3523156816096,0.8891386079970537,1.0605263413653212,0,0,1,4.0,10.0,13.0,16.0,21.0,23.0,16,9,5,5,5,0,0,0,0,0,0,0,0,0,0
Trial23,2,16,2,0,4.427653034967534,-0.0229609468037118,0.0268097815558483,1,0,1,4.0,10.0,13.0,16.0,21.0,23.0,16,16,5,5,5,0,0,0,0,0,0,0,0,0,0
